# Product ID to URL Mapping
# Total: 2560 products
# Format: ID|URL

10428|https://www.meblepumo.pl/pl/products/oswietlenie-2-led-niebieskie-high-glossy-furniture-10428
10429|https://www.meblepumo.pl/pl/products/oswietlenie-led-3-punktowe-niebieskie-high-glossy-furniture-10429
10430|https://www.meblepumo.pl/pl/products/oswietlenie-led-3-punktowe-czerwone-high-glossy-furniture-10430
10431|https://www.meblepumo.pl/pl/products/oswietlenie-led-3-punktowe-zielone-high-glossy-furniture-10431
10432|https://www.meblepumo.pl/pl/products/oswietlenie-led-3-punktowe-biale-high-glossy-furniture-10432
10433|https://www.meblepumo.pl/pl/products/oswietlenie-4-led-biale-high-glossy-furniture-10433
10434|https://www.meblepumo.pl/pl/products/oswietlenie-4-led-zielone-high-glossy-furniture-10434
10435|https://www.meblepumo.pl/pl/products/oswietlenie-4-led-czerwone-high-glossy-furniture-10435
10436|https://www.meblepumo.pl/pl/products/oswietlenie-4-led-niebieskie-high-glossy-furniture-10436
10437|https://www.meblepumo.pl/pl/products/oswietlenie-5-led-niebieskie-high-glossy-furniture-10437
10438|https://www.meblepumo.pl/pl/products/oswietlenie-5-led-czerwone-high-glossy-furniture-10438
10439|https://www.meblepumo.pl/pl/products/oswietlenie-5-led-zielone-high-glossy-furniture-10439
10440|https://www.meblepumo.pl/pl/products/oswietlenie-5-led-biale-high-glossy-furniture-10440
10441|https://www.meblepumo.pl/pl/products/oswietlenie-led-6-punktowe-biale-high-glossy-furniture-10441
10442|https://www.meblepumo.pl/pl/products/oswietlenie-led-6-punktowe-zielone-high-glossy-furniture-10442
10443|https://www.meblepumo.pl/pl/products/oswietlenie-led-6-punktowe-czerwone-high-glossy-furniture-10443
10444|https://www.meblepumo.pl/pl/products/oswietlenie-led-6-punktowe-niebieskie-high-glossy-furniture-10444
10445|https://www.meblepumo.pl/pl/products/oswietlenie-7-led-niebieskie-high-glossy-furniture-10445
10446|https://www.meblepumo.pl/pl/products/oswietlenie-7-led-czerwone-high-glossy-furniture-10446
10447|https://www.meblepumo.pl/pl/products/oswietlenie-7-led-zielone-high-glossy-furniture-10447
10448|https://www.meblepumo.pl/pl/products/oswietlenie-7-led-biale-high-glossy-furniture-10448
10461|https://www.meblepumo.pl/pl/products/led-klejony-niebieski-zasilacz-high-glossy-furniture-10461
12065|https://www.meblepumo.pl/pl/products/szafka-rtv-biala-dab-mat-175-cm-ramona-12065
12066|https://www.meblepumo.pl/pl/products/szafka-rtv-z-szufladami-biala-dab-mat-175-cm-ramona-12066
12067|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-dab-mat-73-cm-ramona-12067
12068|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-biala-dab-mat-120-cm-ramona-12068
12069|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-i-drzwiami-biala-dab-mat-150-cm-ramona-12069
12070|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-biala-dab-mat-175-cm-ramona-12070
12071|https://www.meblepumo.pl/pl/products/komoda-z-drzwiami-biala-dab-mat-200-cm-ramona-12071
12072|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-dab-mat-120-cm-ramona-12072
12167|https://www.meblepumo.pl/pl/products/stol-do-jadalni-bialy-polysk-180-x-90-cm-amaretto-12167
12171|https://www.meblepumo.pl/pl/products/lustro-w-ramie-bialej-170-x-75-cm-12171
12173|https://www.meblepumo.pl/pl/products/amaretto-oswietlenie-led-niebieskie-do-witryny-12173
12327|https://www.meblepumo.pl/pl/products/stol-rozkladany-bialy-polysk-130-210-x-80-cm-cambridge-12327
12863|https://www.meblepumo.pl/pl/products/fotel-z-podnozkiem-tapicerowany-ekoskora-grafitowy-cork-12863
12864|https://www.meblepumo.pl/pl/products/fotel-z-podnozkiem-tapicerowany-ekoskora-szary-cork-12864
12881|https://www.meblepumo.pl/pl/products/fotel-z-podnozkiem-tapicerowany-bezowy-cork-12881
12882|https://www.meblepumo.pl/pl/products/fotel-z-podnozkiem-tapicerowany-ekoskora-czarny-cork-12882
15661|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-dab-sonoma-mat-99-cm-oslo-15661
15662|https://www.meblepumo.pl/pl/products/szafka-nocna-biala-dab-sonoma-mat-50-cm-oslo-15662
15667|https://www.meblepumo.pl/pl/products/stol-okragly-bialy-dab-sonoma-mat-100-cm-oslo-15667
15955|https://www.meblepumo.pl/pl/products/komoda-wysoka-z-szufladami-biala-wysoki-polysk-77-cm-naia-15955
15956|https://www.meblepumo.pl/pl/products/komoda-wysoka-z-szufladami-biala-wysoki-polysk-40-cm-naia-15956
15957|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-wysoki-polysk-154-cm-naia-15957
15958|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-wysoki-polysk-77-cm-naia-15958
15959|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-biala-wysoki-polysk-40-cm-naia-15959
15960|https://www.meblepumo.pl/pl/products/komoda-z-szuflada-i-drzwiami-biala-wysoki-polysk-80-cm-naia-15960
15961|https://www.meblepumo.pl/pl/products/komoda-z-szufladami-i-drzwiami-biala-wysoki-polysk-121-cm-naia-15961
15962|https://www.meblepumo.pl/pl/products/szafka-nocna-z-szufladami-biala-wysoki-polysk-40-cm-naia-15962
15963|https://www.meblepumo.pl/pl/products/szafka-nocna-biala-wysoki-polysk-40-cm-naia-15963
15964|https://www.meblepumo.pl/pl/products/zaglowek-do-lozka-bialy-160x200-cm-naia-15964
15991|https://www.meblepumo.pl/pl/products/lozko-dwuosobowe-biale-160x200-cm-naia-15991
15992|https://www.meblepumo.pl/pl/products/zestaw-szuflad-pod-lozko-bialy-94x66x17-cm-naia-15992
15994|https://www.meblepumo.pl/pl/products/szafa-dwudrzwiowa-z-szufladami-biala-polysk-99-x-200-cm-naia-15994
16076|https://www.meblepumo.pl/pl/products/stelaz-do-lozka-70x200-cm-futura-nv-16076
16199|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-z-funkcja-spania-tapicerowana-granatowa-derry-16199
16212|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-z-funkcja-spania-tapicerowana-fioletowa-derry-16212
16214|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-bezowa-lily-16214
16215|https://www.meblepumo.pl/pl/products/sofa-2-osobowa-tapicerowana-bezowa-lily-16215
16219|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-zielona-lily-16219
16220|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-turkusowa-lily-16220
16221|https://www.meblepumo.pl/pl/products/sofa-3-osobowa-tapicerowana-welurowa-czerwona-lily-16221
